CITY,NUM
akroncanton.craigslist.org,24
ithaca.craigslist.org,24
flagstaff.craigslist.org,24
lansing.craigslist.org,23
appleton.craigslist.org,23
youngstown.craigslist.org,23
corpuschristi.craigslist.org,23
mansfield.craigslist.org,22
watertown.craigslist.org,21
treasure.craigslist.org,21
saginaw.craigslist.org,21
comoxvalley.craigslist.org,21
statesboro.craigslist.org,19
greatfalls.craigslist.org,19
daytona.craigslist.org,19
olympic.craigslist.org,19
nwct.craigslist.org,19
eauclaire.craigslist.org,19
scottsbluff.craigslist.org,18
prescott.craigslist.org,18
utica.craigslist.org,17
sarasota.craigslist.org,17
quadcities.craigslist.org,16
janesville.craigslist.org,16
lacrosse.craigslist.org,16
pueblo.craigslist.org,15
stjoseph.craigslist.org,14
porthuron.craigslist.org,14
lakeland.craigslist.org,14
flint.craigslist.org,14
brainerd.craigslist.org,14
helena.craigslist.org,13
dubuque.craigslist.org,13
plattsburgh.craigslist.org,12
holland.craigslist.org,12
roseburg.craigslist.org,12
kenai.craigslist.org,12
fortdodge.craigslist.org,12
oneonta.craigslist.org,11
williamsport.craigslist.org,11
susanville.craigslist.org,11
iowacity.craigslist.org,10
butte.craigslist.org,10
sheboygan.craigslist.org,9
fortsmith.craigslist.org,9
boone.craigslist.org,9
cedarrapids.craigslist.org,8
stillwater.craigslist.org,8
pullman.craigslist.org,7
yakima.craigslist.org,6
muskegon.craigslist.org,5
salina.craigslist.org,4
manila.craigslist.org,3
seoul.craigslist.org,1
